"azon","nev","tipus","medencek","belepodij","varos_id","nyitas_eve"
"1","Széchenyi Gyógyfürdő","gyógyfürdő","18","4600","1","1913"
"2","Gellért Gyógyfürdő","gyógyfürdő","13","5200","1","1918"
"3","Rudas Gyógyfürdő","gyógyfürdő","5","3800","1","1550"
"4","Lukács Gyógyfürdő","gyógyfürdő","8","3600","1","1884"
"5","Palatinus Strandfürdő","strand","11","2900","1","1919"
"6","Dagály Strandfürdő","strand","10","3100","1","1948"
"7","Paskál Fürdő","gyógyfürdő","6","2800","1","1982"
"8","Római Strandfürdő","strand","7","2500","1","1924"
"9","Hévízi Tófürdő","gyógyfürdő","4","5400","10","1795"
"10","Aquaticum Debrecen","élményfürdő","12","4200","2","2001"
"11","Miskolctapolcai Barlangfürdő","gyógyfürdő","6","3600","3","1959"
"12","Élővíz Fürdő Miskolc","strand","5","2200","3","2005"
"13","Hungarospa Hajdúszoboszló","gyógyfürdő","15","4800","11","1925"
"14","Sárvári Gyógyfürdő","gyógyfürdő","9","3900","12","1988"
"15","Bükfürdő","gyógyfürdő","10","4100","13","1975"
"16","Zalakarosi Fürdő","gyógyfürdő","11","4300","14","1994"
"17","Városi Termálfürdő Gyula","gyógyfürdő","8","3200","15","1961"
"18","Tatai Fürdők","strand","9","2800","16","1954"
"19","Soproni Lővérek Fürdő","strand","6","2600","17","1968"
"20","Anna Gyógyfürdő Balatonfüred","gyógyfürdő","5","3500","18","1937"
"21","Zalaegerszegi Termálfürdő","gyógyfürdő","7","3000","19","2000"
"22","Esztergomi Termálfürdő","gyógyfürdő","6","2900","20","1997"
"23","Mosonmagyaróvári Termálfürdő","gyógyfürdő","8","3300","21","1986"
"24","Cserkeszőlői Termálfürdő","gyógyfürdő","9","3100","22","1978"
"25","Zsóry Fürdő Mezőkövesd","gyógyfürdő","7","3400","23","1930"
"26","Aquapark Debrecen","élményfürdő","8","4500","2","2015"
"27","Eger Termálfürdő","gyógyfürdő","9","3700","9","1962"
"28","Dobogó Gyógy- és Strandfürdő Eger","strand","5","2700","9","1973"
"29","Pécs Hőközpont Fürdő","gyógyfürdő","6","3200","4","2003"
"30","Győri Termálfürdő","gyógyfürdő","8","3000","5","1985"
"31","Nyíregyháza Sóstói Gyógyfürdő","gyógyfürdő","7","3100","6","1948"
"32","Bugaci Termálfürdő","gyógyfürdő","5","2400","7","2009"
"33","Szeged Napfényfürdő Aquapolis","élményfürdő","14","4700","8","2011"
"34","Bogácsi Gyógyfürdő","gyógyfürdő","6","2900","24","1968"
"35","Kehidakustányi Gyógyfürdő","gyógyfürdő","7","3600","25","1998"
"36","Aquasziget Sopron","élményfürdő","9","4000","17","2007"
"37","Velencei-tó Termálfürdő","strand","5","2600","16","2004"
"38","Miskolc Aquaworld","élményfürdő","10","4400","3","2019"
"39","Győr Aquapark","élményfürdő","11","4600","5","2014"
"40","Pécs Aquapark","élményfürdő","8","4200","4","2012"
"41","Nyíregyházi Aquarius Fürdő","élményfürdő","10","3900","6","2008"
"42","Kecskeméti Élményfürdő","élményfürdő","9","3800","7","2016"
"43","Szegedi Termálfürdő","gyógyfürdő","5","2800","8","1958"
"44","Veli Bej Gyógyfürdő","gyógyfürdő","5","4200","1","1574"
"45","Királyok Fürdője","gyógyfürdő","4","3500","1","1565"
