"id","nev","megye_id"
"1","Budapest","13"
"2","Debrecen","9"
"3","Miskolc","5"
"4","Pécs","14"
"5","Győr","7"
"6","Nyíregyháza","15"
"7","Kecskemét","2"
"8","Szeged","6"
"9","Eger","10"
"10","Hévíz","20"
"11","Hajdúszoboszló","9"
"12","Sárvár","18"
"13","Bük","18"
"14","Zalakaros","20"
"15","Gyula","3"
"16","Tata","11"
"17","Sopron","7"
"18","Balatonfüred","19"
"19","Zalaegerszeg","20"
"20","Esztergom","11"
"21","Mosonmagyaróvár","7"
"22","Cserkeszőlő","16"
"23","Mezőkövesd","5"
"24","Bogács","5"
"25","Kehidakustány","20"
