"gyumolcsid";"nev";"megjegyzes";"nev_eng";"alt_szoveg";"src"
"1";"Alma";"Az alma vagy almafa a rózsafélék családjába tartozó növénynemzetség. Körülbelül 55 faj tartozik ide, melyek többsége Ázsiában, kisebb része Európában és Észak-Amerikában honos. A nemzetségbe tartozó egyedek, vagyis az almafák termésének a neve is alma.";"apple";"apple";"apple.png"
"2";"Avokádó";"Az avokádó a babérfélék családjába tartozó, örökzöld, alacsonyan elágazó, terebélyes ágrendszer"u, 10–20 m magas fa. A mexikói fajának a neve Persea gratissima.";"avocado";"avocado";"avocado.png"
"3";"Kókuszdió";"A kókuszpálma az egyszik"uek osztályába, a pálmavirágúak rendjébe és a pálmafélék családjába tartozó faj.";"coconut";"coconut";"coconut.png"
"4";"Guava";"A guava egy gyakori trópusi gyümölcs, amelyet számos trópusi és szubtrópusi régióban termesztenek. A közönséges guajava Psidium guajava a mirtuszfélék családjába tartozó kis fa, Mexikóban, Közép-Amerikában, a Karib-térségben és Dél-Amerika északi részén "oshonos.";"guava";"guava";"guava.png"
"5";"Mézbogyó";"A mézbogyó a szappanfavirágúak rendjébe, a szappanfafélék családjába tartozó trópusi növényfaj.";"mamoncillo";"imoncillo";"imoncillo.png"
"6";"Nagy szapota";"A Pouteria sapota, a mamey sapote egy Mexikóban és Közép-Amerikában "oshonos fafaj. A fát a Karib-térségben is termesztik. Gyümölcsét sok latin-amerikai országban fogyasztják. A gyümölcsb"ol olyan ételeket készítenek, mint a turmix és a fagylalt.";"mamey_sapote";"mamey_sapote";"mamey_sapote.png"
"7";"Mangó";"A mangó (Mangifera indica) a szappanfavirágúak (Sapindales) rendjébe sorolt szömörcefélék (Anacardiaceae) családjában a Mangifera nemzetség típusfaja — édes íz"u, egzotikus gyümölcsöt term"o fa. Mai neve az indiai man-gay portugál formájából (manga) származik. Az indiaiak szent fája.";"mango";"mango";"mango.png"
"8";"Arany alma";"Az aranyalma  különböz"o legendákban szerepel, amelyek egy h"ost (például Herkulest vagy Fat-Frumost ) ábrázolnak, amint visszahozza az ellenfél által elrejtett vagy ellopott aranyalmákat . Az aranyalma az ír mitológiában a túlvilág ezüstágán is megjelenik ";"manzana_de_oro";"manzana_de_aro";"manzana_de_aro.png"
"9";"Papaya";"A papaja vagy dinnyefa a keresztesvirágúak rendjébe és a dinnyefafélék családjába tartozó faj. Gyümölcse szintén papaja néven ismert.";"papaya";"papaya";"papaya.png"
"10";"Passiógyümölcs";"A passiógyümölcs és a granadilla a Passiflora nemzetség számos növényének gyümölcse. Dél-Amerika szubtrópusi vidékein "oshonos Brazília déli részét"ol Paraguayon át Észak-Argentínáig. A gyümölcsöt héja és magja miatt, valamint gyümölcsléként fogyasztják.";"passion_fruit";"passion_fruit";"passion_fruit.png"
"11";"Ananász";"Az ananász az egyszik"uek osztályába, a perjevirágúak rendjébe és a broméliafélék családjába tartozó nemzetség.";"pineapple";"pineapple";"pineapple.png"
"12";"Sárkánygyümölcs";"A pitaja nagyobb és gyakran finomabb is, mint a kaktuszfüge. Húsa fehér, vörös vagy lila; magja kisebb, kevésbé zavarja a gyümölcsevés élvezetét. Héja élvezhetetlen. Illata semleges, íze frissít"o és finoman savanykás, egy kicsit az egresére emlékeztet.";"pitaya";"pitaya";"pitaya.png"
"13";"F"oz"obanán";"A f"oz"obanán a Musa nemzetségbe tartozó banánfajták csoportja, amelynek gyümölcseit általában f"ozéshez használják. Nem fogyasztják nyersen, és általában keményít"otartalmúak. Sok f"ozési banánt útif"unek vagy „zöld banánnak” neveznek.";"plantain";"plantain";"plantain.png"
"14";"Tüskés annóna";"A szúrszop vagy tüskés annóna a liliomfa-virágúak rendjébe, ezen belül az annónafélék családjába tartozó faj. Nemzetségének a típusfaja.";"soursop";"soursop";"soursop.png"
"15";"Csillaggyümölcs";"A karambola, más néven csillaggyümölcs, az Averrhoa carambola gyümölcse, amely a trópusi Délkelet-Ázsiában "oshonos fafaj. Az ehet"o gyümölcs oldalain jellegzetes gerincek futnak le. Keresztmetszetben vágva csillaghoz hasonlít, így a csillaggyümölcs elnevezést kapja.";"starfruit";"starfruit";"starfruit.png"
"16";"Tamarind";"A tamarindusz a kétszik"uek osztályában a hüvelyesek rendjébe sorolt pillangósvirágúak családjának egyik monotipikus nemzetsége; egyetlen faja a többnyire egyszer"uen csak tamarindnak nevezett indiai tamarindusz. Neve az arab-indiai tamar és hindi szavakból ered.";"tamarind";"tamarind";"tamarind.png"
